iter	Passed	Remaining
0	35	17541
1	61	15332
2	90	15031
3	122	15140
4	152	15050
5	184	15180
6	220	15535
7	257	15810
8	298	16284
9	329	16140
10	372	16545
11	388	15798
12	432	16202
13	465	16163
14	491	15907
15	524	15851
16	546	15513
17	581	15574
18	624	15801
19	660	15857
20	670	15298
21	699	15208
22	741	15381
23	772	15318
24	799	15181
25	847	15457
26	877	15370
27	911	15360
28	956	15530
29	1002	15712
30	1024	15502
31	1060	15508
32	1084	15341
33	1125	15431
34	1166	15497
35	1168	15055
36	1206	15103
37	1242	15103
38	1274	15065
39	1314	15121
40	1340	15011
41	1383	15088
42	1417	15059
43	1442	14951
44	1477	14940
45	1504	14845
46	1536	14810
47	1564	14733
48	1604	14768
49	1640	14765
50	1659	14607
51	1691	14576
52	1724	14543
53	1751	14467
54	1787	14465
55	1825	14474
56	1865	14498
57	1910	14556
58	1953	14603
59	1994	14622
60	2038	14672
61	2075	14665
62	2105	14602
63	2112	14394
64	2139	14315
65	2175	14302
66	2211	14294
67	2248	14282
68	2270	14183
69	2303	14149
70	2344	14168
71	2364	14058
72	2386	13961
73	2434	14016
74	2469	13994
75	2505	13979
76	2538	13942
77	2572	13918
78	2615	13938
79	2645	13888
80	2684	13888
81	2715	13843
82	2748	13807
83	2783	13787
84	2829	13812
85	2853	13735
86	2892	13732
87	2914	13643
88	2951	13628
89	2980	13579
90	3006	13514
91	3034	13457
92	3075	13461
93	3116	13462
94	3156	13457
95	3186	13408
96	3218	13370
97	3265	13395
98	3294	13346
99	3330	13321
100	3347	13224
101	3392	13237
102	3428	13213
103	3457	13165
104	3490	13132
105	3527	13112
106	3556	13063
107	3586	13016
108	3609	12948
109	3637	12897
110	3678	12892
111	3717	12878
112	3756	12863
113	3794	12849
114	3824	12802
115	3864	12792
116	3899	12764
117	3939	12753
118	3975	12727
119	4002	12675
120	4036	12642
121	4073	12622
122	4095	12553
123	4134	12537
124	4163	12490
125	4203	12476
126	4235	12438
127	4279	12438
128	4310	12395
129	4352	12388
130	4391	12370
131	4413	12303
132	4445	12265
133	4480	12238
134	4508	12190
135	4540	12152
136	4552	12063
137	4583	12024
138	4599	11945
139	4632	11913
140	4671	11894
141	4709	11871
142	4739	11833
143	4779	11816
144	4809	11774
145	4840	11737
146	4878	11715
147	4911	11681
148	4944	11647
149	4990	11645
150	5035	11637
151	5068	11604
152	5107	11584
153	5140	11549
154	5161	11487
155	5196	11458
156	5238	11444
157	5263	11392
158	5298	11363
159	5320	11306
160	5360	11286
161	5396	11260
162	5421	11209
163	5462	11191
164	5495	11157
165	5524	11116
166	5559	11085
167	5596	11058
168	5618	11004
169	5651	10969
170	5679	10927
171	5709	10887
172	5741	10851
173	5764	10799
174	5792	10757
175	5826	10725
176	5879	10729
177	5918	10707
178	5949	10669
179	5969	10612
180	6010	10592
181	6037	10548
182	6079	10530
183	6103	10482
184	6145	10463
185	6163	10405
186	6187	10357
187	6221	10325
188	6238	10265
189	6277	10242
190	6317	10219
191	6344	10178
192	6385	10156
193	6419	10125
194	6452	10092
195	6477	10046
196	6511	10014
197	6543	9980
198	6582	9956
199	6610	9915
200	6643	9883
201	6674	9847
202	6714	9824
203	6746	9789
204	6781	9759
205	6820	9734
206	6853	9700
207	6886	9667
208	6916	9630
209	6955	9604
210	7002	9590
211	7040	9564
212	7078	9538
213	7099	9488
214	7129	9451
215	7156	9409
216	7198	9387
217	7232	9355
218	7274	9333
219	7305	9297
220	7354	9284
221	7388	9252
222	7423	9220
223	7443	9172
224	7463	9122
225	7481	9070
226	7502	9023
227	7541	8996
228	7576	8965
229	7601	8923
230	7631	8886
231	7667	8857
232	7704	8829
233	7735	8793
234	7763	8754
235	7803	8729
236	7837	8697
237	7873	8667
238	7912	8640
239	7942	8603
240	7984	8581
241	8013	8543
242	8038	8502
243	8063	8460
244	8076	8406
245	8106	8370
246	8130	8328
247	8151	8282
248	8171	8237
249	8196	8196
250	8233	8167
251	8274	8143
252	8314	8117
253	8346	8083
254	8364	8036
255	8394	8001
256	8427	7968
257	8458	7933
258	8495	7904
259	8520	7864
260	8544	7824
261	8571	7785
262	8605	7754
263	8655	7737
264	8678	7696
265	8697	7651
266	8724	7613
267	8751	7576
268	8779	7539
269	8805	7501
270	8842	7471
271	8883	7446
272	8909	7408
273	8947	7380
274	8985	7351
275	9014	7315
276	9037	7275
277	9061	7236
278	9100	7208
279	9120	7166
280	9151	7132
281	9170	7089
282	9201	7055
283	9233	7022
284	9257	6983
285	9287	6949
286	9316	6914
287	9340	6875
288	9371	6841
289	9395	6803
290	9417	6763
291	9444	6727
292	9464	6686
293	9487	6647
294	9516	6612
295	9543	6577
296	9566	6538
297	9591	6501
298	9609	6460
299	9633	6422
300	9659	6386
301	9682	6348
302	9707	6311
303	9729	6273
304	9759	6239
305	9775	6197
306	9809	6167
307	9841	6134
308	9866	6098
309	9888	6060
310	9905	6020
311	9929	5983
312	9949	5944
313	9970	5906
314	9988	5866
315	10012	5830
316	10028	5789
317	10048	5751
318	10061	5708
319	10074	5667
320	10105	5635
321	10130	5600
322	10150	5562
323	10171	5525
324	10191	5487
325	10213	5451
326	10231	5412
327	10250	5375
328	10271	5338
329	10288	5299
330	10306	5262
331	10327	5225
332	10350	5191
333	10370	5154
334	10392	5118
335	10420	5086
336	10438	5049
337	10465	5015
338	10492	4983
339	10517	4949
340	10535	4912
341	10559	4878
342	10575	4840
343	10596	4805
344	10609	4766
345	10623	4728
346	10637	4690
347	10654	4653
348	10670	4616
349	10683	4578
350	10698	4541
351	10716	4505
352	10732	4469
353	10749	4433
354	10759	4394
355	10768	4355
356	10782	4319
357	10792	4280
358	10804	4243
359	10815	4205
360	10824	4168
361	10841	4132
362	10851	4095
363	10862	4058
364	10872	4021
365	10881	3983
366	10890	3946
367	10901	3910
368	10907	3872
369	10915	3835
370	10936	3802
371	10949	3767
372	10963	3732
373	10979	3699
374	10987	3662
375	10994	3625
376	11000	3589
377	11007	3552
378	11013	3516
379	11024	3481
380	11034	3446
381	11043	3411
382	11052	3376
383	11059	3340
384	11067	3305
385	11075	3270
386	11083	3236
387	11089	3201
388	11096	3166
389	11104	3131
390	11110	3097
391	11119	3063
392	11129	3030
393	11136	2996
394	11141	2961
395	11148	2927
396	11153	2893
397	11160	2860
398	11168	2827
399	11175	2793
400	11183	2760
401	11190	2728
402	11197	2695
403	11204	2662
404	11211	2629
405	11214	2596
406	11224	2564
407	11231	2532
408	11237	2500
409	11244	2468
410	11251	2436
411	11258	2404
412	11264	2372
413	11271	2341
414	11277	2309
415	11282	2278
416	11289	2247
417	11298	2216
418	11304	2185
419	11311	2154
420	11319	2124
421	11327	2093
422	11338	2063
423	11344	2033
