iter	Accuracy	Logloss
102	0.8862928349	0.3262301629
103	0.8878504673	0.3257830673
104	0.8862928349	0.3250790791
105	0.8894080997	0.3240199441
106	0.8894080997	0.3236223595
107	0.8909657321	0.3225088389
108	0.8909657321	0.3222194651
109	0.8894080997	0.3217006464
110	0.8925233645	0.3208620385
111	0.8925233645	0.3204113088
112	0.8940809969	0.3198602853
113	0.8940809969	0.3192685769
114	0.8940809969	0.3182878449
115	0.8940809969	0.3172895254
116	0.8971962617	0.3167514975
117	0.8956386293	0.3162958856
118	0.8956386293	0.3156940516
119	0.8956386293	0.3150274663
120	0.8956386293	0.3142217553
121	0.8971962617	0.3131114365
122	0.8971962617	0.3124813873
123	0.8971962617	0.3118147238
124	0.8987538941	0.3112690731
125	0.8987538941	0.3109254665
126	0.8987538941	0.3101576997
127	0.8971962617	0.309639879
128	0.8971962617	0.3094770924
129	0.8987538941	0.309082917
130	0.9003115265	0.3083720162
131	0.9003115265	0.3073583225
132	0.9003115265	0.3066869295
133	0.9018691589	0.3060583271
134	0.9018691589	0.3055029982
135	0.9018691589	0.3042849602
136	0.9003115265	0.3036103052
137	0.9003115265	0.3030880227
138	0.9018691589	0.3022336302
139	0.9018691589	0.3016064039
140	0.9034267913	0.3011323848
141	0.9034267913	0.3002063022
142	0.9034267913	0.299819692
143	0.9049844237	0.2989183563
144	0.9049844237	0.2979335388
145	0.9065420561	0.2973339902
146	0.9080996885	0.2966905925
147	0.9080996885	0.296377273
148	0.9080996885	0.2958712021
149	0.9096573209	0.2949339969
150	0.9096573209	0.2942859061
151	0.9096573209	0.2933117165
152	0.9096573209	0.2930496619
153	0.9096573209	0.2923995095
154	0.9080996885	0.291586751
155	0.9080996885	0.2910512799
156	0.9096573209	0.2903121147
157	0.9112149533	0.2901612297
158	0.9096573209	0.2896871289
159	0.9096573209	0.2892581444
160	0.9096573209	0.2889785629
161	0.9096573209	0.288803626
162	0.9096573209	0.2879861183
163	0.9096573209	0.2872289727
164	0.9096573209	0.2870719543
165	0.9112149533	0.2857062831
166	0.9112149533	0.2852715686
167	0.9096573209	0.2847619741
168	0.9096573209	0.2843527374
169	0.9096573209	0.2839444282
170	0.9096573209	0.2828076135
171	0.9096573209	0.2824770672
172	0.9096573209	0.2821451936
173	0.9096573209	0.2818586812
174	0.9096573209	0.2814903074
175	0.9096573209	0.2807874255
176	0.9096573209	0.2805085522
177	0.9096573209	0.2802373273
178	0.9096573209	0.279753241
179	0.9096573209	0.2794408017
180	0.9096573209	0.2792948646
181	0.9096573209	0.278808718
182	0.9096573209	0.2786039187
183	0.9143302181	0.2774023081
184	0.9143302181	0.2769673818
185	0.9143302181	0.2769104503
186	0.9143302181	0.276384457
187	0.9143302181	0.275929735
188	0.9143302181	0.2755309812
189	0.9143302181	0.2750120124
190	0.9143302181	0.2745673611
191	0.9143302181	0.2742759967
192	0.9143302181	0.2735078245
193	0.9143302181	0.2727715932
194	0.9143302181	0.2724801407
195	0.9143302181	0.2720011757
196	0.9143302181	0.2718076692
197	0.9143302181	0.2713302911
198	0.9143302181	0.2706982754
199	0.9143302181	0.2701126979
200	0.9143302181	0.269383461
201	0.9143302181	0.2690290522
202	0.9158878505	0.2683408329
203	0.9158878505	0.268104586
204	0.9158878505	0.2679034316
205	0.9158878505	0.2674506351
206	0.9158878505	0.2671338669
207	0.9174454829	0.2666134148
208	0.9174454829	0.2653904674
209	0.9174454829	0.2651805394
210	0.9174454829	0.2646887003
211	0.9158878505	0.2642926272
212	0.9174454829	0.2638838871
213	0.9174454829	0.2625307849
214	0.9174454829	0.2621131544
215	0.9174454829	0.261833064
216	0.9174454829	0.2613096309
217	0.9174454829	0.2602507705
218	0.9174454829	0.2598212482
219	0.9174454829	0.2593560107
220	0.9174454829	0.2591087798
221	0.9174454829	0.2587960104
222	0.9174454829	0.2585096213
223	0.9190031153	0.2574995991
224	0.9190031153	0.2573700614
225	0.9174454829	0.2570305027
226	0.9174454829	0.2567189749
227	0.9174454829	0.2561722588
228	0.9174454829	0.2558433739
229	0.9174454829	0.2555144991
230	0.9190031153	0.2551429582
231	0.9205607477	0.2547988315
232	0.9205607477	0.2545169743
233	0.9190031153	0.2540712853
234	0.9190031153	0.2537879713
235	0.9205607477	0.2531392057
236	0.9205607477	0.2528469718
237	0.9205607477	0.2519733998
238	0.9221183801	0.2512010293
239	0.9221183801	0.2504819311
240	0.9221183801	0.2490814135
241	0.9221183801	0.2487145253
242	0.9221183801	0.2476364696
243	0.9221183801	0.2466768858
244	0.9221183801	0.2461885031
245	0.9221183801	0.2460363811
246	0.9221183801	0.2450662912
247	0.9221183801	0.2446149809
248	0.9221183801	0.2443639204
249	0.9236760125	0.2437394088
250	0.9221183801	0.2431390456
251	0.9221183801	0.2420605684
252	0.9221183801	0.2412595434
253	0.9221183801	0.241200358
254	0.9221183801	0.2409237495
255	0.9236760125	0.240514237
256	0.9236760125	0.2402241801
257	0.9236760125	0.2400774211
258	0.9236760125	0.2390541496
259	0.9236760125	0.2389993089
260	0.9236760125	0.238614968
261	0.9236760125	0.2383577064
262	0.9236760125	0.2377991624
263	0.9236760125	0.236871935
264	0.9236760125	0.2359294827
265	0.9236760125	0.2357475334
266	0.9236760125	0.2352775356
267	0.9236760125	0.234301006
268	0.9236760125	0.2335092977
269	0.9236760125	0.2323792938
270	0.9236760125	0.2322315425
271	0.9236760125	0.2319068457
272	0.9236760125	0.2314866735
273	0.9236760125	0.2305644795
274	0.9236760125	0.2299863903
275	0.9236760125	0.2291059615
276	0.9236760125	0.2287075817
277	0.9236760125	0.2279270704
278	0.9236760125	0.2272970695
279	0.9236760125	0.22715248
280	0.9236760125	0.2269824269
281	0.9236760125	0.2268192888
282	0.9236760125	0.2264699066
283	0.9236760125	0.2255947692
284	0.9236760125	0.2254505208
285	0.9236760125	0.225316505
286	0.9236760125	0.2248598083
287	0.9236760125	0.2240576518
288	0.9236760125	0.2233057886
289	0.9236760125	0.2225248555
290	0.9252336449	0.2223692349
291	0.9252336449	0.2218132379
292	0.9252336449	0.2217555288
293	0.9252336449	0.2216935967
294	0.9252336449	0.2216384207
295	0.9252336449	0.2213741361
296	0.9252336449	0.2212996193
297	0.9267912773	0.2203525029
298	0.9267912773	0.2197894642
299	0.9267912773	0.2189535837
300	0.9267912773	0.2188372756
301	0.9267912773	0.2186018879
302	0.9267912773	0.2183970114
303	0.9267912773	0.2182824238
304	0.9267912773	0.2175001323
305	0.9267912773	0.217305569
306	0.9267912773	0.2168460246
307	0.9267912773	0.2162096029
308	0.9267912773	0.2160194375
309	0.9267912773	0.2154696804
310	0.9267912773	0.2152067341
311	0.9267912773	0.214376191
312	0.9267912773	0.21378393
313	0.9267912773	0.2126066087
314	0.9267912773	0.2118655535
315	0.9267912773	0.2116620695
316	0.9283489097	0.2111344888
317	0.9283489097	0.2108846176
318	0.9267912773	0.2102490497
319	0.9267912773	0.210021062
320	0.9267912773	0.2098834174
321	0.9267912773	0.2097172378
322	0.9283489097	0.2091424907
323	0.9283489097	0.2082996694
324	0.9283489097	0.208186325
325	0.9283489097	0.2079280383
326	0.9283489097	0.2076710479
327	0.9283489097	0.2068344272
328	0.9283489097	0.206159139
329	0.9283489097	0.2056424836
330	0.9283489097	0.205237481
331	0.9283489097	0.205171007
332	0.9283489097	0.2050389578
333	0.9283489097	0.2048575525
334	0.9283489097	0.2046832153
335	0.9283489097	0.2042425554
336	0.9283489097	0.2033167136
337	0.9283489097	0.2027050386
338	0.9283489097	0.2020720732
339	0.9283489097	0.2019810425
340	0.9283489097	0.2017834159
341	0.9283489097	0.2012881482
342	0.9283489097	0.2011841629
343	0.9283489097	0.2009390249
344	0.9299065421	0.2004874442
345	0.9299065421	0.2001870696
346	0.9299065421	0.1993737204
347	0.9299065421	0.1992737906
348	0.9299065421	0.1991142512
349	0.9299065421	0.1984445871
350	0.9299065421	0.197670292
351	0.9299065421	0.197591909
352	0.9299065421	0.1970212785
353	0.9299065421	0.1969315744
354	0.9299065421	0.196581268
355	0.9314641745	0.1961746374
356	0.9314641745	0.1961155982
357	0.9314641745	0.1954039606
358	0.9314641745	0.1951541931
359	0.9314641745	0.1950460006
360	0.9314641745	0.1949137948
361	0.9314641745	0.194768235
362	0.9314641745	0.1942643812
363	0.9314641745	0.1940996369
364	0.9330218069	0.1932966174
365	0.9314641745	0.1932134682
366	0.9314641745	0.1929565525
367	0.9314641745	0.192632839
368	0.9330218069	0.1923539456
369	0.9330218069	0.1923137238
370	0.9330218069	0.1922031887
371	0.9330218069	0.191602395
372	0.9330218069	0.1911322626
373	0.9330218069	0.1910370405
374	0.9330218069	0.1908135969
375	0.9345794393	0.1901883863
376	0.9345794393	0.1897673102
377	0.9361370717	0.1891727125
378	0.9361370717	0.1889837156
379	0.9361370717	0.1888719209
380	0.9361370717	0.1886704281
381	0.9361370717	0.1881030229
382	0.9361370717	0.187784492
383	0.9361370717	0.1875352475
384	0.9361370717	0.1875115487
385	0.9361370717	0.1869560692
386	0.9361370717	0.1869101432
387	0.9361370717	0.1863325698
388	0.9361370717	0.1858153865
389	0.9361370717	0.185339145
390	0.9361370717	0.1850646082
391	0.9361370717	0.1847444657
392	0.937694704	0.1841133561
393	0.937694704	0.1834737061
394	0.937694704	0.1833570663
395	0.937694704	0.1832366369
396	0.937694704	0.1831769495
397	0.937694704	0.1825972457
398	0.937694704	0.1824395919
399	0.937694704	0.1820060001
400	0.937694704	0.1815446916
401	0.937694704	0.1813983887
402	0.937694704	0.1807049587
403	0.937694704	0.1804478399
404	0.9392523364	0.1804059847
405	0.9392523364	0.1803027579
406	0.9392523364	0.1799953269
407	0.9392523364	0.1798920975
408	0.9392523364	0.1796941905
409	0.9408099688	0.1793069079
410	0.9408099688	0.1788353943
411	0.9408099688	0.178730761
412	0.9408099688	0.1786346119
413	0.9408099688	0.1782494676
414	0.9408099688	0.1777459637
415	0.9408099688	0.1775412136
416	0.9408099688	0.1775171779
417	0.9408099688	0.1771521554
418	0.9408099688	0.1770454774
419	0.9408099688	0.1769838544
420	0.9423676012	0.1765239782
421	0.9423676012	0.1760154576
422	0.9423676012	0.1759582302
423	0.9423676012	0.1753195943
424	0.9423676012	0.1748535299
425	0.9423676012	0.1743764036
426	0.9423676012	0.1741428733
427	0.9423676012	0.1741211192
428	0.9423676012	0.1740032275
429	0.9423676012	0.1735700753
430	0.9423676012	0.1734455229
431	0.9423676012	0.173298683
432	0.9423676012	0.1731242005
433	0.9423676012	0.1728421473
434	0.9423676012	0.172333374
435	0.9423676012	0.1720065062
436	0.9423676012	0.1718808204
437	0.9423676012	0.1715950935
438	0.945482866	0.1712432871
439	0.945482866	0.1708882209
440	0.945482866	0.1708416643
441	0.945482866	0.1704223035
442	0.945482866	0.1702261544
443	0.945482866	0.1701035935
444	0.945482866	0.1698655542
445	0.945482866	0.1695643086
446	0.945482866	0.1692323899
447	0.945482866	0.1691942843
448	0.945482866	0.1690215948
449	0.945482866	0.1686455576
450	0.945482866	0.1682956116
451	0.945482866	0.1681677809
452	0.945482866	0.1677420429
453	0.945482866	0.1674754582
454	0.945482866	0.166900378
455	0.945482866	0.1667395917
456	0.945482866	0.1662899961
457	0.945482866	0.1658596819
458	0.945482866	0.1657434287
459	0.945482866	0.165313224
460	0.945482866	0.1647711599
461	0.945482866	0.1647085693
462	0.945482866	0.1642849584
463	0.945482866	0.1639422096
464	0.945482866	0.163561336
465	0.945482866	0.1630450839
466	0.945482866	0.1628701464
467	0.945482866	0.1623731186
468	0.945482866	0.162031041
469	0.945482866	0.1619652195
470	0.945482866	0.161779253
471	0.9470404984	0.1616780659
472	0.9470404984	0.161477538
473	0.9485981308	0.1611171942
474	0.9485981308	0.1607955684
475	0.9485981308	0.1604082761
476	0.9485981308	0.1603786185
477	0.9485981308	0.1600227631
478	0.9485981308	0.1599410643
479	0.9501557632	0.159859557
480	0.9501557632	0.1597522536
481	0.9501557632	0.1594847462
482	0.9501557632	0.1591271532
483	0.9501557632	0.1588701722
484	0.9501557632	0.1586965158
485	0.9501557632	0.1586628529
486	0.9501557632	0.1585428282
487	0.9501557632	0.1584828472
488	0.9501557632	0.158457557
489	0.9501557632	0.1582459373
490	0.9501557632	0.1580448944
491	0.9501557632	0.1576245756
492	0.9501557632	0.1571311115
493	0.9501557632	0.1569461698
494	0.9501557632	0.1566428219
495	0.9501557632	0.156609369
496	0.9501557632	0.1565029366
497	0.9501557632	0.1562509614
498	0.9501557632	0.1561235498
499	0.9501557632	0.1560940059
133956	0.1584035204
62108805
