iter	Passed	Remaining
0	71	71578
1	144	71947
2	223	74248
3	308	76920
4	418	83377
5	512	84919
6	616	87489
7	719	89175
8	829	91366
9	927	91819
10	1027	92358
11	1112	91628
12	1180	89618
13	1254	88326
14	1326	87136
15	1398	86034
16	1473	85207
17	1549	84547
18	1622	83768
19	1695	83074
20	1779	82936
21	1860	82696
22	1941	82480
23	2018	82082
24	2088	81442
25	2160	80940
26	2238	80662
27	2312	80279
28	2390	80056
29	2464	79680
30	2539	79365
31	2612	79042
32	2678	78492
33	2749	78107
34	2822	77824
35	2897	77594
36	2968	77267
37	3036	76863
38	3104	76502
39	3176	76224
40	3246	75925
41	3322	75777
42	3392	75497
43	3463	75243
44	3532	74960
45	3603	74740
46	3671	74446
47	3743	74246
48	3812	73991
49	3886	73849
50	3957	73647
51	4027	73416
52	4094	73161
53	4161	72908
54	4229	72670
55	4306	72589
56	4378	72444
57	4454	72352
58	4524	72154
59	4595	71999
60	4667	71841
61	4741	71734
62	4818	71663
63	4893	71567
64	4971	71510
65	5039	71321
66	5111	71180
67	5180	70998
68	5249	70830
69	5319	70677
70	5392	70557
71	5460	70382
72	5533	70272
73	5599	70065
74	5666	69891
75	5735	69730
76	5812	69668
77	5878	69482
78	5956	69447
79	6033	69385
80	6107	69290
81	6178	69163
82	6246	69008
83	6319	68913
84	6390	68789
85	6459	68654
86	6527	68496
87	6601	68411
88	6672	68302
89	6741	68163
90	6810	68028
91	6873	67841
92	6940	67685
93	7009	67561
94	7073	67384
95	7138	67221
96	7208	67103
97	7279	66999
98	7360	66985
99	7436	66925
100	7498	66744
101	7565	66604
102	7640	66543
103	7710	66425
104	7781	66325
105	7851	66215
106	7924	66137
107	7989	65991
108	8058	65875
109	8122	65718
110	8198	65659
111	8268	65561
112	8344	65501
113	8411	65373
114	8484	65290
115	8553	65179
116	8624	65089
117	8713	65129
118	8780	65007
119	8842	64845
120	8917	64778
121	8990	64702
122	9062	64618
123	9129	64498
124	9195	64371
125	9262	64246
126	9329	64129
127	9395	64006
128	9466	63914
129	9531	63788
130	9598	63671
131	9662	63538
132	9726	63404
133	9788	63260
134	9854	63140
135	9925	63057
136	9993	62950
137	10058	62827
138	10125	62721
139	10191	62604
140	10258	62496
141	10322	62369
142	10389	62262
143	10454	62143
144	10514	61998
145	10579	61882
146	10661	61866
147	10760	61944
148	10862	62040
149	10999	62331
150	11157	62732
151	11248	62753
152	11374	62968
153	11533	63361
154	11617	63334
155	11693	63262
156	11795	63336
157	11869	63252
158	11935	63130
159	11996	62982
160	12072	62912
161	12143	62817
162	12217	62736
163	12302	62714
164	12381	62659
165	12462	62610
166	12525	62476
167	12591	62360
168	12658	62244
169	12750	62253
170	12828	62189
171	12890	62055
172	12958	61947
173	13032	61868
174	13104	61780
175	13171	61667
176	13238	61555
177	13302	61432
178	13371	61329
179	13438	61220
180	13506	61116
181	13577	61022
182	13649	60939
183	13715	60827
184	13784	60727
185	13854	60632
186	13929	60560
187	14005	60493
188	14094	60478
189	14173	60422
190	14248	60351
191	14319	60259
192	14381	60136
193	14457	60064
194	14524	59959
195	14598	59884
196	14678	59829
197	14749	59742
198	14817	59643
199	14889	59557
200	14970	59507
201	15046	59440
202	15124	59381
203	15200	59312
204	15282	59264
205	15349	59164
206	15437	59139
207	15514	59072
208	15582	58976
209	15655	58893
210	15720	58785
211	15788	58686
212	15858	58592
213	15931	58513
214	15992	58391
215	16062	58299
216	16129	58201
217	16208	58143
218	16274	58039
219	16347	57959
220	16418	57872
221	16497	57815
222	16575	57752
223	16640	57646
224	16709	57555
225	16779	57467
226	16848	57373
227	16919	57288
228	16994	57216
229	17055	57099
230	17124	57008
231	17188	56899
232	17264	56832
233	17339	56760
234	17410	56677
235	17488	56615
236	17567	56556
237	17639	56475
238	17713	56400
239	17790	56336
240	17853	56226
241	17935	56177
242	18011	56108
243	18086	56039
244	18155	55948
245	18233	55886
246	18306	55810
247	18386	55751
248	18461	55681
249	18539	55618
250	18622	55571
251	18700	55506
252	18786	55467
253	18862	55397
254	18942	55341
255	19023	55287
256	19102	55225
257	19183	55169
258	19262	55109
259	19345	55059
260	19425	55001
261	19506	54947
262	19592	54902
263	19703	54931
264	19780	54864
265	19855	54788
266	19921	54690
267	19996	54616
268	20059	54511
269	20138	54449
270	20219	54390
271	20307	54351
272	20384	54283
273	20461	54215
274	20545	54164
275	20618	54086
276	20691	54007
277	20768	53938
278	20849	53878
279	20916	53784
280	20984	53694
281	21060	53622
282	21136	53549
283	21201	53451
284	21264	53347
285	21344	53286
286	21414	53199
287	21501	53156
288	21580	53091
289	21644	52991
290	21724	52930
291	21790	52834
292	21870	52771
293	21943	52693
294	22017	52617
295	22093	52546
296	22165	52464
297	22233	52374
298	22302	52286
299	22378	52217
300	22457	52152
301	22535	52084
302	22632	52062
303	22704	51980
304	22783	51916
305	22854	51834
306	22933	51768
307	22999	51674
308	23071	51594
309	23146	51519
310	23222	51448
311	23301	51382
312	23370	51294
313	23446	51223
314	23511	51128
315	23597	51077
316	23672	51004
317	23754	50945
318	23822	50855
319	23913	50816
320	23993	50752
321	24074	50690
322	24152	50623
323	24236	50567
324	24311	50493
325	24388	50422
326	24465	50351
327	24547	50293
328	24621	50216
329	24749	50249
330	24855	50236
331	24933	50167
332	24999	50073
333	25066	49983
334	25147	49918
335	25214	49828
336	25281	49738
337	25365	49679
338	25443	49611
339	25518	49535
340	25600	49474
341	25678	49404
342	25756	49335
343	25820	49239
344	25893	49160
345	25967	49082
346	26050	49023
347	26132	48961
348	26199	48870
349	26271	48789
350	26336	48695
351	26412	48623
352	26482	48539
353	26566	48480
354	26639	48401
355	26720	48337
356	26795	48262
357	26866	48178
358	26948	48116
359	27019	48034
360	27092	47956
361	27156	47860
362	27244	47809
363	27315	47726
364	27379	47631
365	27452	47554
366	27523	47472
367	27601	47402
368	27671	47318
369	27739	47232
370	27804	47141
371	27882	47070
372	27969	47016
373	28046	46943
374	28120	46867
375	28195	46792
376	28291	46751
377	28365	46675
378	28438	46597
379	28502	46504
380	28568	46414
381	28647	46346
382	28727	46279
383	28805	46208
384	28869	46115
385	28950	46051
386	29020	45967
387	29099	45898
388	29177	45828
389	29254	45756
390	29316	45661
391	29397	45595
392	29471	45519
393	29534	45425
394	29606	45346
395	29689	45283
396	29774	45223
397	29848	45148
398	29926	45076
399	30006	45010
400	30086	44941
401	30151	44851
402	30216	44761
403	30292	44688
404	30357	44599
405	30431	44523
406	30508	44450
407	30582	44375
408	30668	44315
409	30751	44252
410	30832	44185
411	30903	44105
412	30982	44035
413	31050	43950
414	31122	43871
415	31191	43787
416	31268	43715
417	31353	43654
418	31425	43576
419	31500	43500
420	31566	43413
421	31650	43350
422	31720	43268
423	31794	43193
424	31862	43107
425	31940	43036
426	32019	42967
427	32091	42888
428	32174	42824
429	32245	42744
430	32321	42670
431	32396	42594
432	32469	42517
433	32530	42424
434	32604	42348
435	32694	42292
436	32779	42231
437	32857	42159
438	32950	42107
439	33025	42032
440	33106	41965
441	33179	41886
442	33256	41815
443	33334	41743
444	33423	41685
445	33505	41619
446	33581	41544
447	33653	41465
448	33749	41416
449	33833	41351
450	33917	41287
451	33991	41211
452	34069	41139
453	34150	41071
454	34228	40999
455	34297	40916
456	34371	40839
457	34441	40758
458	34528	40697
459	34603	40621
460	34676	40543
461	34754	40472
462	34832	40399
463	34902	40318
464	34974	40240
465	35038	40151
466	35107	40068
467	35187	39999
468	35266	39928
469	35337	39848
470	35415	39776
471	35494	39705
472	35577	39639
473	35642	39553
474	35713	39472
475	35792	39401
476	35861	39319
477	35934	39242
478	35994	39150
479	36062	39067
480	36132	38986
481	36210	38915
482	36277	38831
483	36349	38752
484	36426	38679
485	36504	38607
486	36568	38520
487	36646	38448
488	36722	38374
489	36790	38291
490	36866	38217
491	36926	38127
492	36994	38044
493	37056	37956
494	37122	37872
495	37195	37795
496	37268	37718
497	37340	37640
498	37418	37568
499	37498	37498
500	37566	37416
501	37640	37340
502	37710	37260
503	37780	37181
504	37858	37108
505	37930	37030
506	38001	36952
507	38074	36875
508	38149	36800
509	38214	36716
510	38291	36643
511	38359	36561
512	38431	36483
513	38508	36410
514	38582	36334
515	38656	36259
516	38730	36183
517	38804	36108
518	38879	36032
519	38943	35947
520	39022	35876
521	39081	35787
522	39156	35712
523	39233	35639
524	39308	35565
525	39384	35490
526	39453	35410
527	39541	35347
528	39631	35286
529	39705	35210
530	39789	35143
531	39887	35088
532	39989	35038
533	40074	34971
534	40153	34899
535	40231	34827
536	40312	34757
537	40383	34678
538	40462	34607
539	40545	34538
540	40649	34488
541	40738	34425
542	40819	34354
543	40902	34285
544	40972	34206
545	41045	34129
546	41114	34049
547	41190	33974
548	41260	33895
549	41338	33822
550	41406	33741
551	41476	33661
552	41541	33578
553	41608	33497
554	41672	33412
555	41738	33330
556	41816	33257
557	41893	33184
558	41969	33110
559	42044	33035
560	42130	32968
561	42206	32893
562	42276	32814
563	42349	32738
564	42425	32664
565	42496	32585
566	42572	32511
567	42642	32432
568	42703	32346
569	42766	32262
570	42843	32188
571	42912	32109
572	42982	32030
573	43059	31957
574	43138	31884
575	43203	31802
576	43275	31725
577	43349	31649
578	43428	31577
579	43489	31492
580	43569	31420
581	43629	31335
582	43688	31248
583	43757	31169
584	43831	31094
585	43908	31020
586	43983	30946
587	44051	30866
588	44124	30789
589	44192	30709
590	44270	30636
591	44354	30568
592	44423	30489
593	44499	30415
594	44572	30339
595	44653	30268
596	44759	30214
597	44853	30152
